Cueanexo,Nombre,Código de departamento,Ámbito,Sector
20015200,ESC.DE EDUC.MEDIA Nº1 FEDERICO GARCIA LORCA DE14,02000,Urbano,Estatal
20015300,DR. LUIS F. LELOIR,02000,Urbano,Estatal
20015400,DR.GENARO SISTO,02000,Urbano,Estatal
20015500,JIC Nº 02 JARDIN DEL ANGEL GRIS DE 12,02000,Urbano,Estatal
20015700,COLEGIO NUMEN,02000,Urbano,Privado
20015701,COLEGIO NUMEN,02000,Urbano,Privado
20015800,JIN B DE 08 MAFALDA-INFANCIAS PARTICIPANDO DE SUS DERECHOS,02000,Urbano,Estatal
20015801,JIN B DE 08 (ESC. PRIM. N° 08 DE 08),02000,Urbano,Estatal
20015900,ESC. DE COM. Nº 20 DR. JUAN AGUSTIN GARCIA DE 14,02000,Urbano,Estatal
20016000,REPUBLICA DEL ECUADOR,02000,Urbano,Estatal
20016100,ROMPEHIELOS GRAL SAN MARTIN,02000,Urbano,Estatal
20016300,ESC. DE EDUC. MEDIA Nº 03 ANTONIO DEVOTO DE 17,02000,Urbano,Estatal
20016500,ANTONIO A. ZINNY,02000,Urbano,Estatal
20016600,CAPITAN JUAN DE SAN MARTIN Y GOMEZ,02000,Urbano,Estatal
20016700,JOSE ERNESTO GALLONI,02000,Urbano,Estatal
20016800,INSTITUTO PLATERILLO,02000,Urbano,Privado
20016900,CANADA,02000,Urbano,Estatal
20017000,ESCUELA INFANTIL N° 04 AGUSTIN TATIN RAVELLO DE 08,02000,Urbano,Estatal
20017400,ESCUELA RELIGIOSA ISRAELITA ARGENTINA,02000,Urbano,Privado
20017700,JIN D DE 12 (ESC. PRIM. Nº 03 DE 12),02000,Urbano,Estatal
20017701,JIN D DE 12 (ESC. PRIM. Nº 09 DE 12),02000,Urbano,Estatal
20017702,JIN D DE 12 (ESC. PRIM. Nº 24 DE 12),02000,Urbano,Estatal
20017800,INSTITUTO LA CANDELARIA,02000,Urbano,Privado
20018100,ALTE MANUEL BLANCO ENCALADA,02000,Urbano,Estatal
20018400,PATRIA GRANDE,02000,Urbano,Estatal
20018500,PRESBISTERO PROF. VICENTE MONTES CARBALLO,02000,Urbano,Estatal
20018600,CAJA NACIONAL DE AHORRO Y SEGURO,02000,Urbano,Estatal
20018700,JIN A DE 13 (ESC. PRIM. N° 14 DE 13),02000,Urbano,Estatal
20018701,JIN A DE 13 (ESC. PRIM. N° 19 DE 13),02000,Urbano,Estatal
20018702,JIN A DE 13 (ESC. PRIM. N° 12 DE 13),02000,Urbano,Estatal
20018800,JII N° 06 DE 09,02000,Urbano,Estatal
20018900,FIDEL LOPEZ,02000,Urbano,Estatal
20019000,COLEGIO SAN FRANCISCO JAVIER,02000,Urbano,Privado
20019200,ESC. TEC. Nº 06 FERNANDO FADER DE 12,02000,Urbano,Estatal
20019300,SATURNINO SEGUROLA,02000,Urbano,Estatal
20019400,COLEGIO EYELEN,02000,Urbano,Privado
20019600,EMILIO GIMENEZ ZAPIOLA,02000,Urbano,Estatal
20019800,INSTITUTO SCHILLER,02000,Urbano,Privado
20019900,COLEGIO NUEVO PENSAR,02000,Urbano,Privado
20020100,COLEGIO DEL ARCE,02000,Urbano,Privado
20020101,COLEGIO DEL ARCE,02000,Urbano,Privado
20020200,GRAL. JUAN ANTONIO LAVALLEJA,02000,Urbano,Estatal
20020300,ESCUELA ARGENTINA,02000,Urbano,Privado
20020600,INSTITUTO SIR THOMAS MALORY,02000,Urbano,Privado
20020700,FRAY LUIS BELTRAN,02000,Urbano,Estatal
20020800,GAUCHOS DE GUEMES,02000,Urbano,Estatal
20020900,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD,02000,Urbano,Privado
20020901,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD,02000,Urbano,Privado
20020902,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD,02000,Urbano,Privado
20021200,JII N° 05 DE 09,02000,Urbano,Estatal
20021300,MARCOS SASTRE,02000,Urbano,Estatal
20021400,CARLOS JAVIER BENIELLI,02000,Urbano,Estatal
20021500,INSP. GRAL ALFREDO D. ZUNDA,02000,Urbano,Estatal
20021600,ENRIQUE G. PARKER,02000,Urbano,Estatal
20021700,INSTITUTO SAN MATEO,02000,Urbano,Privado
20021800,NTRA. SRA. DE LA MISERICORDIA,02000,Urbano,Privado
20021900,JORGE NEWBERY,02000,Urbano,Estatal
20022000,JIN A DE 12 (ESC. PRIM. Nº 05 DE 12),02000,Urbano,Estatal
20022001,JIN A DE 12 (ESC. PRIM. Nº 19 DE 12),02000,Urbano,Estatal
20022002,JIN A DE 12 (ESC. PRIM. Nº 01 DE 12),02000,Urbano,Estatal
20022100,AUSTRALIA,02000,Urbano,Estatal
20022300,INST. SAN JOSE DE LA PALABRA DE DIOS,02000,Urbano,Privado
20022400,INSTITUTO INTEGRAL MUNDO NUEVO,02000,Urbano,Privado
20022500,COLEGIO URIARTE,02000,Urbano,Privado
20023000,FELIX DE AZARA,02000,Urbano,Estatal
20023100,COLEGIO INGLES HORACIO WATSON,02000,Urbano,Privado
20023400,INSTITUTO INCORPORADO COLECTIVIDAD HELENICA,02000,Urbano,Privado
20023500,INSTITUTO GRIEGO ATENÁGORAS I,02000,Urbano,Privado
20023600,DR. ALEJANDRO CARBO,02000,Urbano,Estatal
20023700,REPUBLICA DE TURQUIA,02000,Urbano,Estatal
20023900,JIN B JARDIN DE LOS PUENTES DE 09 (ESC.PRIM.Nº9 DE 9),02000,Urbano,Estatal
20023901,JIN B JARDIN DE LOS PUENTES DE 09 (ESC.PRIM.N°15DE 9),02000,Urbano,Estatal
20024800,COLEG. LA ANUNCIATA,02000,Urbano,Privado
20024900,JIN A DE 01 (ESC. PRIM. Nº 7 DE 01),02000,Urbano,Estatal
20024902,JIN A DE 01 (ESC. PRIM. Nº 8 DE 01),02000,Urbano,Estatal
20025000,NICOLAS AVELLANEDA,02000,Urbano,Estatal
20025100,NICOLAS RODRIGUEZ PEÑA,02000,Urbano,Estatal
20025300,INST. SAN JUDAS TADEO,02000,Urbano,Privado
20025400,ISAAC BAKCHELLIAN,02000,Urbano,Privado
20025500,JIC N° 08 DE 19,02000,Urbano,Estatal
20026400,INST. VIRGEN DEL VALLE,02000,Urbano,Privado
20026800,DR.ALFREDO LANARI,02000,Urbano,Estatal
20027400,JII Nº 12 DE 21 ,02000,Urbano,Estatal
20027500,JIC N° 03 AMALIA FIGUEREDO DE 21,02000,Urbano,Estatal
20027600,INSTITUTO AMANECER,02000,Urbano,Privado
20027800,JIN C DE 21 (ESC. PRIM. Nº 14 DE 21),02000,Urbano,Estatal
20027804,JIN C DE 21 (ESC. PRIM. N° 13 DE 21),02000,Urbano,Estatal
20027900,ARMADA ARGENTINA,02000,Urbano,Estatal
20028100,MARIA ELENA WALSH,02000,Urbano,Estatal
20028500,ESC. EDUC. MEDIA Nº 05 JUAN MANUEL FANGIO DE 21,02000,Urbano,Estatal
20028600,ESC. DE EDUC. MEDIA Nº 04 DE 21 NORMA COLOMBATTO,02000,Urbano,Estatal
20028700,INSTITUTO EUSKAL-ECHEA,02000,Urbano,Privado
20028900,FRANCISCO NARCISO LAPRIDA,02000,Urbano,Estatal
20029000,JIN B DE 03 (ESC. PRIM. N° 23 DE 3),02000,Urbano,Estatal
20029001,JIN B DE 03 (ESC. PRIM. Nº 9 DE 3),02000,Urbano,Estatal
20029002,JIN B DE 03 (ESC. PRIM. N° 15 DE 3),02000,Urbano,Estatal
20029300,INSTITUTO NUESTRA SEÑORA DEL PILAR,02000,Urbano,Privado
20029400,JIN B EL JARDIN DEL ABASTO DE 02 (N°8),02000,Urbano,Estatal
20029401,JIN B JARDIN DEL ABASTO DE 02 (N°24),02000,Urbano,Estatal
20029500,INST.MERCEDES PACHECO,02000,Urbano,Privado
20029600,FRAY MAMERTO ESQUIU,02000,Urbano,Estatal
20029700,CARLOS N. VERGARA,02000,Urbano,Estatal
20029800,PROVINCIA DE FORMOSA,02000,Urbano,Estatal
20029900,INSTITUTO POLITECNICO MODELO,02000,Urbano,Privado
20030200,CNEL CARLOS TOMAS SOURIGUES,02000,Urbano,Estatal
20030300,INSTITUTO SAN ROBERTO,02000,Urbano,Privado
20030400,ADA MARIA ELFLEIN,02000,Urbano,Estatal
20030500,INSTITUTO ESCUELA DE LA NUEVA EXPRESION,02000,Urbano,Privado
20030700,INSTITUTO BETANIA,02000,Urbano,Privado
20030900,JIN D DE 03 (ESC. PRIM. N° 04 DE 03),02000,Urbano,Estatal
20030902,JIN D DE 03 (ESC. PRIM. N° 03 DE 03),02000,Urbano,Estatal
20031100,MARIA SANCHEZ DE THOMPSON,02000,Urbano,Estatal
20031700,COLEGIO AULA XXI,02000,Urbano,Privado
20031900,JOSE CLEMENTE PAZ,02000,Urbano,Estatal
20032400,JORGE ANGEL BOERO,02000,Urbano,Estatal
20032500,DOMINGUITO,02000,Urbano,Estatal
20032800,ISLAS MALVINAS,02000,Urbano,Estatal
20032900,INTENDENTE ALVEAR,02000,Urbano,Estatal
20033000,VICENTE LOPEZ Y PLANES,02000,Urbano,Estatal
20033100,INSTITUTO LEOPOLDO MARECHAL,02000,Urbano,Privado
20033101,INSTITUTO LEOPOLDO MARECHAL,02000,Urbano,Privado
20033300,PRIMERA MINISTRO INDIRA GANDHI,02000,Urbano,Estatal
20033400,ESCUELA PARROQUIAL SANTA ELISA,02000,Urbano,Privado
20033500,INSTITUTO AMBROSIO TOGNONI,02000,Urbano,Privado
20033600,JIN C DE 09 (ESC. PRIM. N° 20 DE 09),02000,Urbano,Estatal
20033601,JIN C DE 09 (ESC. PRIM. N° 23 DE 09),02000,Urbano,Estatal
20033602,JIN C DE 09 (ESC. PRIM. N° 01 DE 09),02000,Urbano,Estatal
20034100,IRLANDA,02000,Urbano,Estatal
20034200,JIC Nº 01 PABLO NERUDA DE 17,02000,Urbano,Estatal
20034400,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°10DE11),02000,Urbano,Estatal
20034401,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°09DE11),02000,Urbano,Estatal
20034402,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°08DE11),02000,Urbano,Estatal
20034900,BELISARIO ROLDAN,02000,Urbano,Estatal
20035000,ESC. DE EDUC. MEDIA Nº 01 RODOLFO WALSH DE 16,02000,Urbano,Estatal
20035100,GRAL MAXIMO DE ZAMUDIO,02000,Urbano,Estatal
20035200,ENRIQUE DE VEDIA,02000,Urbano,Estatal
20035300,EI Nº 02 DE 14 (HOSP. TORNU),02000,Urbano,Estatal
20035400,INSTITUTO SAN MIGUEL,02000,Urbano,Privado
20035500,ESCUELA ARCO IRIS,02000,Urbano,Privado
20035800,CAP. DE FRAGATA CARLOS MARIA MOYANO,02000,Urbano,Estatal
20036200,PONCIANO VIVANCO,02000,Urbano,Estatal
20036300,REPUBLICA DE NICARAGUA,02000,Urbano,Estatal
20036400,ESC. DE COM. Nº 16 GABRIELA MISTRAL DE 07,02000,Urbano,Estatal
20036800,ESCUELA DEL PARQUE,02000,Urbano,Privado
20037000,ESCUELA DEL SIGLO NUEVO,02000,Urbano,Privado
20037900,JIC Nº 03 LA PORTENA DE 07,02000,Urbano,Estatal
20038000,TOMAS SANTA COLOMA,02000,Urbano,Estatal
20038100,JIC N° 02 DE 13,02000,Urbano,Estatal
20038200,JIC N° 03 DE 08,02000,Urbano,Estatal
20038300,COLEGIO Nº 16 GUILLERMO RAWSON DE 15,02000,Urbano,Estatal
20038600,PROVINCIA DE JUJUY,02000,Urbano,Estatal
20038700,INSTITUTO SANTA MARIA DE LOS ANGELES,02000,Urbano,Privado
20039800,ESCUELA INTEGRAL MAIMONIDES,02000,Urbano,Privado
20039801,ESCUELA INTEGRAL MAIMONIDES,02000,Urbano,Privado
20039900,QUINTINO BOCAYUVA,02000,Urbano,Estatal
20040000,MUSEO DE BELLAS ARTES GRAL URQUIZA,02000,Urbano,Estatal
20040100,LICEO Nº 09 SANTIAGO DERQUI DE 10,02000,Urbano,Estatal
20040200,INSTITUTO BENITO NAZAR,02000,Urbano,Privado
20040300,ESCUELA PARA EL HOMBRE NUEVO,02000,Urbano,Privado
20040400,ROSARIO VERA PEÑALOZA,02000,Urbano,Estatal
20040700,INSTITUTO ARCANGEL SAN MIGUEL,02000,Urbano,Privado
20041000,GERVASIO POSADAS,02000,Urbano,Estatal
20041100,INSTITUTO SAN ANTONIO DE PADUA,02000,Urbano,Privado
20041200,INSTITUTO DON ORIONE,02000,Urbano,Privado
20041300,ERNESTO A. BAVIO,02000,Urbano,Estatal
20041400,ESC. DE EDUC. MEDIA Nº 05 HEROES DE MALVINAS DE 10,02000,Urbano,Estatal
20041500,INSTITUTO INCORPORADO PATROCINIO DE SAN JOSE,02000,Urbano,Privado
20041700,PADRE CASTAÑEDA,02000,Urbano,Estatal
20041800,DR ADOLFO SALDIAS,02000,Urbano,Estatal
20041900,FLORENCIO VARELA,02000,Urbano,Estatal
20042000,INSTITUTO CASA DE JESUS,02000,Urbano,Privado
20042100,ESTEBAN ECHEVERRIA,02000,Urbano,Estatal
20042200,INSTITUTO FEDERICO GUILLERMO FRÖEBEL,02000,Urbano,Privado
20042500,INSTITUTO ISABEL CONDE DE HERNANDEZ,02000,Urbano,Privado
20042600,JIC N° 03 DE 19,02000,Urbano,Estatal
20042700,JII N° 02 JUAN M. COGHLAN DE 15,02000,Urbano,Estatal
20042800,CENTRO EDUCATIVO BUENOS AIRES,02000,Urbano,Privado
20043300,GASPAR LUCILO BENAVENTO,02000,Urbano,Estatal
20043700,INSTITUTO HOGAR SAN BENITO,02000,Urbano,Privado
20043800,DR GUILLERMO CORREA,02000,Urbano,Estatal
20043900,JII N° 01 JOSE FRANCISCO DE SAN MARTIN DE 06,02000,Urbano,Estatal
20044000,COLEGIO DEL TREBOL,02000,Urbano,Privado
20044100,ENRIQUE BANCHS,02000,Urbano,Estatal
20044200,JIC Nº 05 DE 06,02000,Urbano,Estatal
20044400,JIN D DE 11 SIN FRONTERAS (ESC.PRIM. Nº 15 DE 11),02000,Urbano,Estatal
20044600,INSTITUTO AMERICA DEL SUR,02000,Urbano,Privado
20044700,GABRIELA MISTRAL,02000,Urbano,Estatal
20045500,ESC.INTEGRAL RABINO ELIAS SULI,02000,Urbano,Privado
20045600,CELIA MARTINEZ DE VARELA,02000,Urbano,Privado
20045700,INST.SAN FRANCISCO,02000,Urbano,Privado
20046000,INSTITUTO  GRAL. SAN MARTIN,02000,Urbano,Privado
20046100,CORONEL BRANDSEN,02000,Urbano,Estatal
20046200,PREFECTURA NAVAL ARGENTINA,02000,Urbano,Estatal
20046300,GREGORIA MATORRAS Y DEL SER DE SAN MARTIN,02000,Urbano,Estatal
20046400,COLEGIO INTEGRAL CABALLITO,02000,Urbano,Privado
20046700,JIN A DE 10 (ESC. PRIM. Nº 09 DE 10),02000,Urbano,Estatal
20046702,JIN A DE 10 (ESC. PRIM. Nº 10 DE 10),02000,Urbano,Estatal
20046703,JIN A DE 10 (ESC. PRIM. Nº 20 DE 10),02000,Urbano,Estatal
20046900,ESC. POLITECNICA MANUEL BELGRANO DE 04,02000,Urbano,Estatal
20047000,BERNARDO DE IRIGOYEN,02000,Urbano,Estatal
20047200,ESTADO PLURINACIONAL DE BOLIVIA,02000,Urbano,Estatal
20047300,SABINA BOVE DE BOZZALLA,02000,Urbano,Estatal
20047400,JOSE PEDRO VARELA,02000,Urbano,Estatal
20047600,LORENZO ANADON,02000,Urbano,Estatal
20047700,JIC N° 04 DE 05,02000,Urbano,Estatal
20047800,ESC. TEC. Nº 32 GRAL JOSE DE SAN MARTIN DE 14,02000,Urbano,Estatal
20047900,INSTITUTO SAN MARTIN DE TOURS,02000,Urbano,Privado
20048100,DR. RAFAEL HERRERA VEGAS,02000,Urbano,Estatal
20048300,INSTITUTO PRIVADO COLEGIO BAYARD,02000,Urbano,Privado
20048400,ARZOBISPO MARIANO ANTONIO ESPINOSA,02000,Urbano,Estatal
20048500,MIGUEL DE AZCUENAGA,02000,Urbano,Estatal
20048600,INSTITUTO NTA.SRA.DE GRACIA Y BUEN REMEDIO,02000,Urbano,Privado
20048700,ESC.DE COM.Nº21 CAP.DE NAVIO HIPOLITO BOUCHARD DE11,02000,Urbano,Estatal
20048900,REPUBLICA DOMINICANA,02000,Urbano,Estatal
20049000,HERMINIA BRUMANA,02000,Urbano,Estatal
20049100,MAESTRO JORGE LUIS CHINETTI,02000,Urbano,Estatal
20049200,JIC Nº03 FRYDA SCHULTZ DE MANTOVANI DE 06,02000,Urbano,Estatal
20049300,INSTITUTO CAROLINA ESTRADA DE MARTINEZ,02000,Urbano,Privado
20049400,ESC. DE COM. Nº 24 DALMACIO VELEZ SARSFIELD DE 14,02000,Urbano,Estatal
20049500,FRANCISCO BEIRO,02000,Urbano,Estatal
20049600,INSTITUTO SAN MAXILIMIANO KOLBE,02000,Urbano,Privado
20049700,CARLOS GARDEL,02000,Urbano,Estatal
20049900,ESC. TEC. Nº 31 MAESTRO QUINQUELA DE 04,02000,Urbano,Estatal
20050000,ESC. DE COM. Nº 07 MANUEL BELGRANO DE 10,02000,Urbano,Estatal
20050200,ESCUELA ARGENTINA GENERAL BELGRANO,02000,Urbano,Privado
20050300,COLEGIO SAN JUAN EVANGELISTA,02000,Urbano,Privado
20050400,HIPOLITO YRIGOYEN,02000,Urbano,Estatal
20050600,ESC. TEC. Nº 11 MANUEL BELGRANO DE 06,02000,Urbano,Estatal
20050800,INSTITUTO SANTA FELICITAS DE SAN VICENTE DE PAUL,02000,Urbano,Privado
20050900,ESC. TEC. Nº 12 LIB. GRAL. SAN MARTIN DE 01,02000,Urbano,Estatal
20051100,COLEGIO INTERNACIONAL DE LAS ISLAS,02000,Urbano,Privado
20051101,COLEGIO INTERNACIONAL DE LAS ISLAS,02000,Urbano,Privado
20051200,INSTITUTO SAN PIO X,02000,Urbano,Privado
20051300,INST. SAN COSME Y SAN DAMIAN,02000,Urbano,Privado
20051301,INST. SAN COSME Y SAN DAMIAN,02000,Urbano,Privado
20051302,INST. SAN COSME Y SAN DAMIAN,02000,Urbano,Privado
20051400,ARISTOBULO DEL VALLE,02000,Urbano,Estatal
20051600,GENERAL MARIANO ACHA,02000,Urbano,Estatal
20051800,ALTE. SEGUNDO R. STORNI,02000,Urbano,Estatal
20051900,RUBEN DARIO,02000,Urbano,Estatal
20052000,CARLOS DELLA PENNA,02000,Urbano,Estatal
20052100,INSTITUTO ZACCARIA,02000,Urbano,Privado
20052300,REPUBLICA DE CHILE,02000,Urbano,Estatal
20052400,MARIANO MORENO,02000,Urbano,Estatal
20052500,INST  JOSEFA CAPDEVILLA DE GUTIERREZ,02000,Urbano,Privado
20052700,INSTITUTO PRIVADO SAN BRENDANO,02000,Urbano,Privado
20052800,HIPOLITO VIEYTES,02000,Urbano,Estatal
20053000,PROF. RODOLFO SENET,02000,Urbano,Estatal
20053200,BUENOS AIRES ENGLISH HIGH SCHOOL,02000,Urbano,Privado
20053300,JOSE HERNANDEZ,02000,Urbano,Estatal
20053400,INSTITUTO MEKHITARISTA,02000,Urbano,Privado
20053500,INSTITUTO ANUNCIACION DE MARIA,02000,Urbano,Privado
20053600,ENS Nº 03 BERNARDINO RIVADAVIA DE 04,02000,Urbano,Estatal
20054000,ALMIRANTE GUILLERMO BROWN,02000,Urbano,Estatal
20054100,HOGAR DE LA INFANCIA DE LA BOCA,02000,Urbano,Privado
20054200,JIC N° 02 CARLOS DELLA PENNA DE 04,02000,Urbano,Estatal
20054300,INSTITUTO PRIVADO SIMON BOLIVAR,02000,Urbano,Privado
20054400,DR LUIS AGOTE,02000,Urbano,Estatal
20054500,INSTITUTO RESURRECCION DEL SEÑOR,02000,Urbano,Privado
20054600,CARMEN CATREN DE MENDEZ CASARIEGO,02000,Urbano,Estatal
20055400,JIN D DE 13 (ESC. PRIM. Nº 01 DE 13),02000,Urbano,Estatal
